n_samp,kappa,d_effect,method,mean_bias,emp_sd,mean_se,rmse,coverage,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
500,3.5,0.5,AIPW,-9.933413111007886e-4,0.5094163829523246,0.24724952045560683,0.5089076810628322,0.748,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,0.5,Fixed TS-AIPW,0.001597117588958307,0.20563919326125066,0.0967026801221524,0.2054396593506733,0.644,0.203128,0.33640986560926234,10.260021951263077,0.6283913376177633,15.906434704815243,49.64569768659652,0.2,NA,NA,NA,NA
500,3.5,0.5,Shrinking quantile TS,-0.004629821231860275,0.5016132904299427,0.24364943042296952,0.5011328133282844,0.748,0.020876,0.09437340869258733,1.4674856998085646,2.120088045832786e-11,7.054682469804295e-11,1.0988528535286233e-10,0.2,NA,NA,NA,NA
500,3.5,0.5,L2-grid TS (rho=0.05),0.002609503796661619,0.21622910577792082,0.12330701840209461,0.21602852969738284,0.69,0.158772,0.29038697715663653,9.827544841945118,0.41929980684243096,15.543266647051134,49.23090266018919,0.2,0.05,0.02051564544262482,0.158674,1
500,3.5,0.5,L2-grid TS (rho=0.10),0.0026344233832672407,0.21591883596659542,0.12204145298058544,0.21571889584429435,0.69,0.161612,0.2933352770557827,9.859394187896658,0.44440359327421447,15.581847953415416,49.4318581193557,0.2,0.1,0.04574303655855871,0.161581,1
500,3.5,0.5,L2-grid TS (rho=0.20),0.0030476666344874843,0.21570420247192107,0.11988807461166241,0.2155099409076862,0.68,0.16592,0.2978602155546521,9.916193909858892,0.45117434938792506,15.693758141963423,49.886649625735764,0.2,0.2,0.09712160793926931,0.165888,1
500,3.5,0.5,L2-grid TS (rho=0.40),0.004206673687648893,0.21571731132995411,0.11758035802443904,0.21554254010316354,0.68,0.171532,0.30399393695368276,9.958711367372587,0.4589710828553858,15.693758141963173,50.1155937952213,0.2,0.4,0.18623267677563227,0.171601,1
1500,3.5,0.5,AIPW,-0.001036687372484298,0.24422640001951174,0.1375211781175629,0.24398425383263125,0.794,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
1500,3.5,0.5,Fixed TS-AIPW,-7.73659320616464e-5,0.1162349575777284,0.052806326818018896,0.1161186902176285,0.634,0.200328,0.3333529145674789,8.600634425518862,1.278767906214437,13.27165657628101,28.09423913337394,0.2,NA,NA,NA,NA
1500,3.5,0.5,Shrinking quantile TS,-0.001036687372396519,0.24422640001950005,0.137521178117563,0.24398425383261924,0.794,0.007868,0.05509199028522069,3.4335606955129912e-12,3.4837052074248273e-12,8.973232530268979e-12,1.2334713614755247e-11,0.2,NA,NA,NA,NA
1500,3.5,0.5,L2-grid TS (rho=0.05),-8.506655891319881e-4,0.12422030863656407,0.08096243130116954,0.12409894173421561,0.728,0.117896,0.24363818401358864,8.077474401462087,0.6461158298684457,11.15336594316456,28.8858748124987,0.2,0.05,0.02624568079373904,0.11808433333333333,1
1500,3.5,0.5,L2-grid TS (rho=0.10),-0.0011810850913179113,0.12405692836811134,0.07975681396644525,0.123938437117673,0.724,0.12167466666666667,0.24794866234182986,8.132717997244997,0.6910700465340386,11.174132393633162,28.923030514720775,0.2,0.1,0.06380507790617483,0.121876,1
1500,3.5,0.5,L2-grid TS (rho=0.20),-0.0014819694675092573,0.12366264179855928,0.07780134527092021,0.12354780577633992,0.726,0.12754933333333332,0.25476221531191473,8.199279497035604,0.7800759846467153,11.260142971680706,29.20726757740492,0.2,0.2,0.143904769925648,0.12784566666666666,1
1500,3.5,0.5,L2-grid TS (rho=0.40),-0.0020720466032794088,0.12306156802986727,0.07448158206644181,0.12295590512067273,0.718,0.13684133333333334,0.2651558440085506,8.297350849710389,0.930992956533288,11.440891758703502,29.473148671308238,0.2,0.4,0.3002335517279536,0.13721733333333333,1
5000,3.5,0.5,AIPW,9.99819132302657e-5,0.2080681853053945,0.09243050401006334,0.20786003702778078,0.86,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
5000,3.5,0.5,Fixed TS-AIPW,0.006993536400026733,0.0596026802243574,0.028310363887956713,0.0599523484304464,0.67,0.200768,0.33319950103920726,14.349452364122353,1.8898691791234081,16.34452956379727,54.423664350477175,0.2,NA,NA,NA,NA
5000,3.5,0.5,Shrinking quantile TS,9.998191324135188e-5,0.20806818530539392,0.09243050401006338,0.20786003702778022,0.86,0.003502,0.0356257794161448,3.983652875895693e-13,7.830836137685329e-13,1.4468402006770983e-12,1.7604072908319827e-12,0.2,NA,NA,NA,NA
5000,3.5,0.5,L2-grid TS (rho=0.05),0.006942339720307948,0.06770923887324529,0.05308485727677766,0.06799682365764424,0.832,0.07693,0.19047430315666475,13.579139807825971,0.6582470466473178,13.597742417412537,43.312098993754475,0.2,0.05,0.022871796686513422,0.0769065,1
5000,3.5,0.5,L2-grid TS (rho=0.10),0.006942443616524204,0.06727070514460752,0.05229053326572898,0.06756104349756623,0.828,0.0795072,0.19399168716206125,13.61901135382788,0.7446349257540748,13.984442044467816,43.471881096029534,0.2,0.1,0.05981760310495718,0.0795457,1
5000,3.5,0.5,L2-grid TS (rho=0.20),0.006892956266507916,0.06659459239876486,0.05099987344411803,0.06688410052752526,0.826,0.0842188,0.20029536752682017,13.688568737246472,0.900301098018153,14.602297657971747,43.563506349643546,0.2,0.2,0.14581739645006922,0.0843381,1
5000,3.5,0.5,L2-grid TS (rho=0.40),0.007088976434038617,0.06549739675051079,0.048896278305556026,0.06581476088244938,0.81,0.093016,0.21159198044888974,13.794124500996928,1.1379705634088175,14.865855905279986,44.085034014021275,0.2,0.4,0.32765566537557955,0.0931852,1
12000,3.5,0.5,AIPW,0.0014919701984552071,0.08310848769536744,0.05719046623755645,0.08303874192586311,0.93,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
12000,3.5,0.5,Fixed TS-AIPW,0.0026237847324885747,0.038117486764636666,0.018206546843368705,0.038169636597434185,0.654,0.200091,0.3325103705267036,8.42420981372448,2.3939711919304663,15.363164560589249,31.26886730737437,0.2,NA,NA,NA,NA
12000,3.5,0.5,Shrinking quantile TS,0.0014919701984577646,0.08310848769536734,0.057190466237556456,0.08303874192586307,0.93,0.0019433333333333334,0.025733339187047358,9.18876863883256e-14,2.7972332944645344e-13,4.306827132183709e-13,4.905090470488934e-13,0.2,NA,NA,NA,NA
12000,3.5,0.5,L2-grid TS (rho=0.05),0.003189980292918065,0.047038416167032866,0.03920558273910695,0.04709950471694133,0.894,0.05690733333333333,0.16085300267621364,7.060847402645193,0.7569537710211915,10.141974339541243,25.961248752046075,0.2,0.05,0.018967019899633186,0.056901708333333335,1
12000,3.5,0.5,L2-grid TS (rho=0.10),0.0031176729652568754,0.046796868159956186,0.03878485296005705,0.04685388842518254,0.892,0.0586585,0.16357620770588918,7.097284543944538,0.8356676132785826,10.22368666564945,26.047630994639206,0.2,0.1,0.05177724047902724,0.05870604166666667,1
12000,3.5,0.5,L2-grid TS (rho=0.20),0.003067654433484636,0.04655407780181558,0.03806418549271661,0.04660856251141866,0.886,0.061801,0.16828303194790326,7.182656617003754,0.9465160665750167,11.237973189574575,26.35920552583051,0.2,0.2,0.13568489380753954,0.061827458333333335,1
12000,3.5,0.5,L2-grid TS (rho=0.40),0.0027810657718716366,0.045946939651355795,0.03672953534968739,0.04598514268354679,0.868,0.06782433333333333,0.17709842620108096,7.317019990363184,1.1623235607391291,12.168581743023488,26.704883672632704,0.2,0.4,0.3163391173612216,0.06786575,1
500,3.5,1,AIPW,-0.012380018611959821,0.4994025642793307,0.23565716549310833,0.49905649001609625,0.762,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,1,Fixed TS-AIPW,0.004691664683672856,0.20051506250253764,0.09986742872417677,0.2003693824597955,0.672,0.202352,0.33547649391359646,10.08758335872877,0.5953055962767386,12.171261627943519,65.38671539309908,0.2,NA,NA,NA,NA
500,3.5,1,Shrinking quantile TS,-0.012380018610477727,0.49940256427910523,0.23565716549312438,0.4990564900158343,0.762,0.02076,0.09368558018477231,2.914071650264712e-11,3.3167897554460193e-11,8.228306697087326e-11,1.1740111302308164e-10,0.2,NA,NA,NA,NA
500,3.5,1,L2-grid TS (rho=0.05),0.006944608179705673,0.2128166287041765,0.12561410125446487,0.2127170966351199,0.704,0.15870800000000002,0.2915414992174204,9.591869807299787,0.32600507999917344,11.491352509133556,61.6937914624231,0.2,0.05,0.01953870858885465,0.158695,1
500,3.5,1,L2-grid TS (rho=0.10),0.006900734347563399,0.21240091038001568,0.12466907614867512,0.21230058542390923,0.704,0.161228,0.29424881132333236,9.608258266746125,0.3710175686710907,11.720065878408857,61.86055957370694,0.2,0.1,0.04405008122987248,0.161416,1
500,3.5,1,L2-grid TS (rho=0.20),0.00677657709051432,0.2118881233870778,0.12317876217696536,0.21178457374392545,0.704,0.16524,0.29831292569172047,9.626725287934157,0.40175649028323945,11.847020178256866,61.90570991078778,0.2,0.2,0.09250729603455847,0.165283,1
500,3.5,1,L2-grid TS (rho=0.40),0.006878615068303931,0.21139905579020069,0.1206931487926726,0.2112995433328437,0.696,0.171172,0.30441670329591763,9.646626481116876,0.43339622854910453,11.868108902285226,61.905709910787365,0.2,0.4,0.18320572656762593,0.170987,1
1500,3.5,1,AIPW,0.016546421603066738,0.540836582398918,0.1732507428046237,0.5405487808802145,0.802,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
1500,3.5,1,Fixed TS-AIPW,-0.006842136450593784,0.10988169864675576,0.053628786597106015,0.10998479237290035,0.652,0.20024133333333333,0.3327798155635376,20.73204542103423,1.1709236961840397,14.323533972830308,77.37201396764951,0.2,NA,NA,NA,NA
1500,3.5,1,Shrinking quantile TS,0.016507275815909224,0.47060609045543433,0.16717988547556015,0.47042495931217704,0.802,0.007862666666666667,0.054992904778049245,3.722258043112793,6.743279415621675e-12,1.2677161057292711e-11,1.7237555036068895e-11,0.2,NA,NA,NA,NA
1500,3.5,1,L2-grid TS (rho=0.05),-0.006398401445532382,0.11422008387793117,0.07476570812945009,0.11428505872167918,0.748,0.120448,0.24614172893103345,20.400435452765844,0.6134751135474423,13.582988224455686,76.51314554675659,0.2,0.05,0.02653818116660243,0.120614,1
